Game Question No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
13722,Which element has the chemical symbol 'Ce'?,Boron,Hydrogen,Scandium,Cerium,D,The element with symbol Ce is Cerium.,Science,Periodic Table
13723,'Capricornus' is the name of which type of celestial pattern?,A type of nebula,A planet,A galaxy,A constellation (a pattern of stars),D,Capricornus is a constellation — a recognisable pattern of stars.,Space,Constellations
13724,What is the English meaning of the Kannada word 'ಸುಲಭ'?,easy,religion/duty,thousand,stomach,A,'ಸುಲಭ' means 'easy' in English.,Kannada Subjects,Adjectives
13725,"Which verb form correctly completes the sentence: ""She ___ her keys somewhere in the house.""?",has lost,lost,loses,will lose,A,"The sentence requires the Present Perfect form: 'has lost'. Full sentence: ""She has lost her keys somewhere in the house.""",English Subjects,Tenses
13726,"Fill in the blank: ______ refers to ""investment made by a company or individual in one country into business interests located in another country"".",land reforms in India,foreign direct investment (FDI),inflation's effect on purchasing power,the Consumer Protection Act,B,foreign direct investment (FDI) refers to: investment made by a company or individual in one country into business interests located in another country,Social Science,Economics
13727,Which statement correctly describes a foreign key in a database?,"a tool that automates the process of installing, upgrading, and managing software packages, such as npm or pip","a type of database that organises data into tables with rows and columns, linked by relationships","a field in one table that refers to the primary key in another table, establishing a relationship",software that monitors and controls incoming and outgoing network traffic based on security rules,C,"By definition, a foreign key in a database is: a field in one table that refers to the primary key in another table, establishing a relationship",Software,Software Basics
13728,How many Petabyte (PB)s is 13 Byte(s) equal to?,1.15463e-17,5.77316e-15,1.15463e-13,1.15463e-14,D,"1 Byte = 1024^-5 Petabyte (PB)(s) (relative scale), so 13 Byte(s) = 1.15463e-14 Petabyte (PB)(s).",Hardware,Storage Units
13729,What is significant about 'Deep Blue defeats Garry Kasparov'?,a large language model by OpenAI that demonstrated advanced natural language generation capabilities,a period of reduced funding and interest in AI research due to unmet expectations,the first time a computer defeated a reigning world chess champion in a match,an AI system by OpenAI capable of generating images from text descriptions,C,'Deep Blue defeats Garry Kasparov' (1997) is significant because it was the first time a computer defeated a reigning world chess champion in a match.,AI – Artificial Intelligence,AI History and Milestones
13730,"Which term matches this description: ""a hyperparameter that controls the size of the steps taken when updating model parameters during training""?",a Markov chain,early stopping,grid search,learning rate (in ML),D,The description matches learning rate (in ML): a hyperparameter that controls the size of the steps taken when updating model parameters during training,ML – Machine Learning,ML Basics
13731,"Fill in the blank: ______ refers to ""the world's largest coral reef system, located off the coast of Queensland, Australia"".",the Amazon Rainforest,the Mariana Trench,the Great Barrier Reef,Lake Baikal,C,"the Great Barrier Reef refers to: the world's largest coral reef system, located off the coast of Queensland, Australia",General Knowledge (GK),Geography
13732,A team scores at a run rate of 4.93 runs per over for 28 overs. Approximately how many runs have they scored?,138,123,153,158,A,Runs ≈ Run rate × Overs = 4.93 × 28 ≈ 138 runs.,Cricket,Scoring Calculations
13733,"A can complete a piece of work in 17 days and B can complete it in 6 days. Working together, how many days will they take (rounded to 2 decimal places)?",5.93,2.93,2.43,4.43,D,Combined rate = 1/17 + 1/6. Time together = (17×6)/(17+6) = 4.43 days.,Aptitude,Time and Work
13734,"Which term matches this description: ""a digital certificate that enables encrypted, secure communication between a browser and a website (HTTPS)""?",a favicon's role in bookmarking,an SSL certificate,WordPress,a staging environment (in web development),B,"The description matches an SSL certificate: a digital certificate that enables encrypted, secure communication between a browser and a website (HTTPS)",Web Development,General Web Development
13735,What is the angle between the hour and minute hands of a clock at 8:53?,6.5°,36.5°,41.5°,51.5°,D,Angle = |30×hour − 5.5×minute| = |30×8 − 5.5×53| = 51.5° (taking the smaller angle).,Puzzles,Clock Puzzles
13736,"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 3 pawns, 2 rooks, 1 queen?",22,19,18,21,A,Total value = 3×1 + 2×5 + 1×9 = 22.,Chess,Piece Values
13737,What is 4/12 + 1/5 (in simplest form)?,9/16,10/16,9/14,8/15,D,4/12 + 1/5 = 8/15 = 8/15 in simplest form.,Math / Mathematics,Fractions
13738,"Fill in the blank: ______ refers to ""the first Governor-General of Bengal under British East India Company rule"".",the Lahore Session of 1929,Warren Hastings,the Government of India Act 1935,the doctrine of lapse,B,Warren Hastings refers to: the first Governor-General of Bengal under British East India Company rule,History,Indian History
13739,"Which term matches this description: ""single-celled microorganisms that can be found in almost every environment, some beneficial and some pathogenic""?",bacteria,osmosis,diffusion,mitochondria,A,"The description matches bacteria: single-celled microorganisms that can be found in almost every environment, some beneficial and some pathogenic",Science,Biology
13740,Which space agency was responsible for 'Cassini-Huygens launch'?,Soviet Union,NASA/ESA/CSA,ISRO (India),NASA/ESA,D,'Cassini-Huygens launch' was carried out by NASA/ESA.,Space,Space Missions
13741,Which statement correctly describes a gadya (in Kannada literature)?,"a prose composition in Kannada literature, as opposed to poetry (padya)","a poetic composition in Kannada literature, written in verse form","meaning 'Kannada literature', referring to the body of written works composed in the Kannada language","a popular Kannada poet known for his romantic and lyrical poetry, notably the collection 'Mysore Mallige'",A,"By definition, a gadya (in Kannada literature) is: a prose composition in Kannada literature, as opposed to poetry (padya)",Kannada Subjects,Kannada Literature
13742,'construct' is a synonym of which word?,dirty,strong,build,wide,C,'construct' is similar in meaning to 'build'.,English Subjects,Synonyms
13743,What is unemployment?,an agricultural system in which farmers pool resources and share profits collectively,an economic system in which decisions about production and pricing are guided by supply and demand,a marketplace where shares of publicly listed companies are bought and sold,a situation where people who are willing and able to work cannot find employment,D,unemployment is: a situation where people who are willing and able to work cannot find employment,Social Science,Economics
13744,"Which term matches this description: ""a type of malware that attaches itself to legitimate programs and replicates when the program is executed""?",pip,a computer virus,load balancing,middleware,B,The description matches a computer virus: a type of malware that attaches itself to legitimate programs and replicates when the program is executed,Software,Software Basics
13745,How many Terabyte (TB)s is 14 Kilobyte (KB)(s) equal to?,1.27329e-11,1.33514e-05,1.30385e-08,1.30385e-09,C,"1 Kilobyte (KB) = 1024^-3 Terabyte (TB)(s) (relative scale), so 14 Kilobyte (KB)(s) = 1.30385e-08 Terabyte (TB)(s).",Hardware,Storage Units
13746,"Which term matches this description: ""the use of AI to enhance immersive experiences, such as generating realistic virtual environments""?",OpenAI,tokenisation (in NLP),a virtual reality (VR) AI application,AlphaFold,C,"The description matches a virtual reality (VR) AI application: the use of AI to enhance immersive experiences, such as generating realistic virtual environments",AI – Artificial Intelligence,AI Applications
13747,"A classifier has precision 0.65 and recall 0.87 (from 126 TP, 67 FP, 19 FN). What is its F1 score (rounded to 2 decimal places)?",0.75,0.90,0.65,0.45,A,F1 = 2×(Precision×Recall)/(Precision+Recall) = 2×(0.65×0.87)/(0.65+0.87) = 0.75.,ML – Machine Learning,Model Evaluation
